"ID","title","description","streetaddress","city","state","amenityfeatures","type","unclearaddress","notes","dateadded","lastmodified","Year","full.address","lon","lat","geoAddress","Status"
105,"Brownie's Grill","","2218 Cumberland Ave W","Knoxville","TN","","Bars/Clubs","",NA,"8/14/2019 1:03am","8/18/2019 11:52pm","1965","2218 Cumberland Ave W, Knoxville, TN",-83.9395405,35.9535255,"2218 cumberland ave, knoxville, tn 37916, usa","Geocoded"
106,"Five-O-Nine Club","","509 Clinch Ave SW","Knoxville","TN","","Bars/Clubs","",NA,"8/14/2019 1:03am","8/18/2019 11:52pm","1965","509 Clinch Ave SW, Knoxville, TN",-83.9202435,35.9634853,"509 clinch ave, knoxville, tn 37902, usa","Geocoded"
107,"Frank's Shobar","","Bellevue & Eastmoreland","Memphis","TN","","Bars/Clubs","",NA,"8/14/2019 1:03am","8/18/2019 11:53pm","1965","Bellevue & Eastmoreland, Memphis, TN",-122.2015159,47.6101497,"bellevue, wa, usa","Geocoded"
109,"Rendezvous","","64 November 6th St.","Memphis","TN","","Bars/Clubs","",NA,"8/14/2019 1:03am","8/18/2019 11:54pm","1965","64 November 6th St., Memphis, TN",-90.0528081,35.1433903,"64 november 6th st, memphis, tn 38103, usa","Geocoded"
110,"Sharecropper","","266 Walnut St.","Memphis","TN","(M) - Mixed Crowds","Bars/Clubs","",NA,"8/14/2019 1:03am","8/18/2019 11:54pm","1965","266 Walnut St., Memphis, TN",-90.034904,35.1351689,"266 walnut st, memphis, tn 38126, usa","Geocoded"
111,"Twilight","","1786 Madison","Memphis","TN","""(G) - Girls, but seldom exclusively""","Bars/Clubs","",NA,"8/14/2019 1:03am","8/18/2019 11:54pm","1965","1786 Madison, Memphis, TN",-90.001451,35.138261,"1786 madison ave, memphis, tn 38104, usa","Geocoded"
112,"Hi Hat Lounge","","605 Commerce","Nashville","TN","(M) - Mixed Crowds","Bars/Clubs","",NA,"8/14/2019 1:03am","8/18/2019 11:55pm","1965","605 Commerce, Nashville, TN",-86.7800706,36.1611847,"605 commerce st, nashville, tn 37203, usa","Geocoded"
113,"Jungle","Also called Juanita's","713 Commerce","Nashville","TN","","Bars/Clubs","",NA,"8/14/2019 1:03am","8/18/2019 11:55pm","1965","713 Commerce, Nashville, TN",-86.7821572,36.1606357,"713 commerce st, nashville, tn 37203, usa","Geocoded"
114,"Ship's Lounge","","214 E 3rd","Amarillo","TX","(M) - Mixed Crowds","Bars/Clubs","",NA,"8/14/2019 1:03am","8/19/2019 12:01am","1965","214 E 3rd, Amarillo, TX",-101.8384873,35.2117874,"214 sw 3rd ave, amarillo, tx 79101, usa","Geocoded"
115,"Freddie's","","509 E 6th","Austin","TX","","Bars/Clubs","",NA,"8/14/2019 1:03am","8/19/2019 12:01am","1965","509 E 6th, Austin, TX",-97.7379252,30.2665069,"509 e 6th st, austin, tx 78701, usa","Geocoded"
116,"New Orleans","","1125 Red River","Austin","TX","(M) - Mixed Crowds","Bars/Clubs","",NA,"8/14/2019 1:03am","8/19/2019 12:01am","1965","1125 Red River, Austin, TX",-97.7350471,30.2721845,"1125 red river st, austin, tx 78701, usa","Geocoded"
117,"Playboy","","485 Crockett","Beaumont","TX","(M) - Mixed Crowds","Bars/Clubs","",NA,"8/14/2019 1:03am","8/19/2019 12:01am","1965","485 Crockett, Beaumont, TX",-94.1005349,30.082636,"485 crockett st, beaumont, tx 77701, usa","Geocoded"
118,"Park Lounge","","2175 Tancahua","Corpus Christi","TX","","Bars/Clubs","",NA,"8/18/2019 11:56pm","8/19/2019 12:01am","1965","2175 Tancahua, Corpus Christi, TX",-97.398904,27.8078045,"2175 n tancahua st, corpus christi, tx 78401, usa","Geocoded"
119,"Atlantis","","Field St & Cedar Springs","Dallas","TX","(*) - Very popular","Bars/Clubs","",NA,"8/18/2019 11:56pm","8/19/2019 12:01am","1965","Field St & Cedar Springs, Dallas, TX",-95.1602268,37.5162788,"udall rd, st paul, ks 66771, usa","Geocoded"
120,"Centaur","","2237 Cedar Spings","Dallas","TX","","Bars/Clubs","",NA,"8/18/2019 11:56pm","8/19/2019 12:01am","1965","2237 Cedar Spings, Dallas, TX",-96.8057062,32.7948,"2237 cedar springs rd, dallas, tx 75201, usa","Geocoded"
121,"Gene's Music Box","","307 S Akard","Dallas","TX","","Bars/Clubs","",NA,"8/18/2019 11:56pm","8/19/2019 12:01am","1965","307 S Akard, Dallas, TX",-96.7991905,32.7787511,"307 s akard st, dallas, tx 75202, usa","Geocoded"
122,"Numbers","","McKinney & Harwood","Dallas","TX","""(G) - Girls, but seldom exclusively"",(*) - Very popular","Bars/Clubs","",NA,"8/18/2019 11:56pm","8/19/2019 12:01am","1965","McKinney & Harwood, Dallas, TX",-96.6389342,33.1983388,"mckinney, tx, usa","Geocoded"
123,"Villa Fontana","","1315 Skiles","Dallas","TX","(*) - Very popular","Bars/Clubs","",NA,"8/18/2019 11:56pm","8/19/2019 12:01am","1965","1315 Skiles, Dallas, TX",-96.786291,32.791936,"1315 skiles st, dallas, tx 75204, usa","Geocoded"
124,"Zoo Bar","","1600 Commerce St.","Dallas","TX","(M) - Mixed Crowds,(RT) - 'Raunchy types' - downtown type places - often hustlers","Bars/Clubs","",NA,"8/18/2019 11:56pm","8/19/2019 12:01am","1965","1600 Commerce St., Dallas, TX",-96.7972176,32.7799153,"1600 commerce st, dallas, tx 75201, usa","Geocoded"
126,"Club Pigalle","","613 E San Antonio","El Paso","TX","","Bars/Clubs","",NA,"8/18/2019 11:56pm","8/19/2019 12:12am","1965","613 E San Antonio, El Paso, TX",-106.4830933,31.7591341,"613 e san antonio ave, el paso, tx 79901, usa","Geocoded"
127,"Green Grog","","333 N Orgeon","El Paso","TX","(M) - Mixed Crowds","Bars/Clubs","",NA,"8/18/2019 11:56pm","8/19/2019 12:12am","1965","333 N Orgeon, El Paso, TX",-106.48941,31.7595101,"333 n oregon st, el paso, tx 79901, usa","Geocoded"
128,"Plaza Hotel Bar","","Mills & Orgeon","El Paso","TX","(M) - Mixed Crowds,(PE) - Pretty elegant - jacket & tie may be required","Bars/Clubs","",NA,"8/18/2019 11:56pm","8/19/2019 12:12am","1965","Mills & Orgeon, El Paso, TX",-97.0426273,32.9661856,"3000 grapevine mills pkwy, grapevine, tx 76051, usa","Geocoded"
130,"Louisa's","","1428 Strand","Galveston","TX","","Bars/Clubs","",NA,"8/18/2019 11:56pm","8/19/2019 12:12am","1965","1428 Strand, Galveston, TX",-94.7851819,29.3098038,"1428 strand st, galveston, tx 77550, usa","Geocoded"
131,"Carnival Room","","2506 Tangley","Houston","TX","","Bars/Clubs","",NA,"8/18/2019 11:56pm","8/19/2019 12:12am","1965","2506 Tangley, Houston, TX",-95.416987,29.7200315,"2506 tangley st, houston, tx 77005, usa","Geocoded"
132,"Exile","","1011 Bell","Houston","TX","(*) - Very popular","Bars/Clubs","",NA,"8/18/2019 11:56pm","8/19/2019 12:12am","1965","1011 Bell, Houston, TX",-95.367921,29.7532503,"1011 bell st, houston, tx 77002, usa","Geocoded"
133,"European Lounge","","2119 Leeland","Houston","TX","","Bars/Clubs","",NA,"8/18/2019 11:56pm","8/19/2019 12:12am","1965","2119 Leeland, Houston, TX",-95.3581982,29.74653,"2119 leeland st, houston, tx 77003, usa","Geocoded"
134,"Fiesta Club","","3007 Travis","Houston","TX","","Bars/Clubs","",NA,"8/18/2019 11:56pm","8/19/2019 12:12am","1965","3007 Travis, Houston, TX",-95.377186,29.7431224,"3007 travis st, houston, tx 77006, usa","Geocoded"
135,"Golden Nugget","","2802 Austin","Houston","TX","","Bars/Clubs","",NA,"8/18/2019 11:56pm","8/19/2019 12:12am","1965","2802 Austin, Houston, TX",-95.3718932,29.7420517,"2802 austin st, houston, tx 77004, usa","Geocoded"
136,"Joker Lounge","","706 Elgin","Houston","TX","","Bars/Clubs","",NA,"8/18/2019 11:56pm","8/19/2019 12:12am","1965","706 Elgin, Houston, TX",-95.3789998,29.7425296,"706 elgin st, houston, tx 77006, usa","Geocoded"
137,"Numbers","","1003 California","Houston","TX","","Bars/Clubs","",NA,"8/18/2019 11:56pm","8/19/2019 12:12am","1965","1003 California, Houston, TX",-95.390896,29.745284,"1003 california st, houston, tx 77006, usa","Geocoded"
138,"Pink Elephant","","1218 Leeland","Houston","TX","(RT) - 'Raunchy types' - downtown type places - often hustlers","Bars/Clubs","",NA,"8/18/2019 11:56pm","8/19/2019 12:12am","1965","1218 Leeland, Houston, TX",-95.366269,29.750923,"1218 leeland st, houston, tx 77002, usa","Geocoded"
139,"Red Feather","","1525 Richmond","Houston","TX","(*) - Very popular","Bars/Clubs","",NA,"8/18/2019 11:56pm","8/19/2019 12:12am","1965","1525 Richmond, Houston, TX",-95.3988182,29.7341195,"1525 richmond ave, houston, tx 77006, usa","Geocoded"
140,"Red Room","","612 Hadley","Houston","TX","","Bars/Clubs","",NA,"8/18/2019 11:56pm","8/19/2019 12:12am","1965","612 Hadley, Houston, TX",-95.3758184,29.7488389,"612 hadley st, houston, tx 77006, usa","Geocoded"
141,"Showboat","","1104 Tuam","Houston","TX","","Bars/Clubs","",NA,"8/18/2019 11:56pm","8/19/2019 12:12am","1965","1104 Tuam, Houston, TX",-95.3746596,29.7426338,"1104 tuam st, houston, tx 77004, usa","Geocoded"
142,"Stadium","","2417 Times","Houston","TX","(*) - Very popular","Bars/Clubs","",NA,"8/18/2019 11:56pm","8/19/2019 12:12am","1965","2417 Times, Houston, TX",-95.4153693,29.7166692,"2417 times blvd, houston, tx 77005, usa","Geocoded"
143,"Surf","","2909 Main St.","Houston","TX","","Bars/Clubs","",NA,"8/18/2019 11:56pm","8/19/2019 12:14am","1965","2909 Main St., Houston, TX",-95.3755528,29.7430456,"2909 main st, houston, tx 77002, usa","Geocoded"
144,"Cork Room","","411 N St Mary's","San Antonio","TX","(*) - Very popular","Bars/Clubs","",NA,"8/18/2019 11:56pm","8/19/2019 12:14am","1965","411 N St Mary's, San Antonio, TX",-98.4915692,29.4279971,"411 n st mary's st, san antonio, tx 78205, usa","Geocoded"
145,"Marine Room","","721 Navarro","San Antonio","TX","(RT) - 'Raunchy types' - downtown type places - often hustlers","Bars/Clubs","",NA,"8/18/2019 11:56pm","8/19/2019 12:14am","1965","721 Navarro, San Antonio, TX",-98.4900197,29.4277805,"721 navarro st, san antonio, tx 78205, usa","Geocoded"
146,"Paul's","Weekends, Inquire locally","","San Antonio","TX","(D) - Dancing,(P) - Private club - Inquire locally to admission","Bars/Clubs","",NA,"8/18/2019 11:56pm","8/19/2019 12:14am","1965",", San Antonio, TX",-98.4936282,29.4241219,"san antonio, tx, usa","Geocoded"
147,"Top Hat","","210 S New Braunfels","San Antonio","TX","","Bars/Clubs","",NA,"8/18/2019 11:56pm","8/19/2019 12:14am","1965","210 S New Braunfels, San Antonio, TX",-98.4611636,29.418006,"210 s new braunfels ave, san antonio, tx 78203, usa","Geocoded"
148,"Blue Lounge","Piano bar","1016 Scott","Wichita Falls","TX","(M) - Mixed Crowds","Bars/Clubs","",NA,"8/18/2019 11:56pm","8/19/2019 12:14am","1965","1016 Scott, Wichita Falls, TX",-98.4900994,33.9094332,"1016 scott ave, wichita falls, tx 76301, usa","Geocoded"
149,"Office","","800 Travis","Wichita Falls","TX","(*) - Very popular","Bars/Clubs","",NA,"8/18/2019 11:56pm","8/19/2019 12:14am","1965","800 Travis, Wichita Falls, TX",-98.4945038,33.9103207,"800 travis st, wichita falls, tx 76301, usa","Geocoded"
150,"Continental","","111 W Tazewell","Norfolk","TX","(*) - Very popular","Bars/Clubs","",NA,"8/18/2019 11:56pm","8/19/2019 12:17am","1965","111 W Tazewell, Norfolk, TX",-76.2914909,36.8492514,"111 w tazewell st, norfolk, va 23510, usa","Geocoded"
152,"Rene's","","206 N 8th St.","Richmond","TX","(*) - Very popular","Bars/Clubs","",NA,"8/19/2019 12:12am","8/19/2019 12:17am","1965","206 N 8th St., Richmond, TX",-95.7657509,29.5830284,"206 n 8th st, richmond, tx 77469, usa","Geocoded"
153,"Trade Winds","","717 Franklin Rd Sw","Roanoke","TX","","Bars/Clubs","",NA,"8/19/2019 12:12am","8/19/2019 12:17am","1965","717 Franklin Rd Sw, Roanoke, TX",-79.946391,37.267094,"717 franklin rd sw, roanoke, va 24011, usa","Geocoded"
154,"Craig's","","2101 Atlantic","Virginia Beach","TX","(*) - Very popular","Bars/Clubs","",NA,"8/19/2019 12:12am","8/19/2019 12:17am","1965","2101 Atlantic, Virginia Beach, TX",-75.974915,36.849526,"2101 atlantic ave, virginia beach, va 23451, usa","Geocoded"
155,"Hotel Waverly","","22nd & Ocean Front","Virginia Beach","TX","""(H) - Hotel, motel, or other overnight accomodations""","Hotels","",NA,"8/19/2019 12:12am","8/19/2019 12:17am","1965","22nd & Ocean Front, Virginia Beach, TX",-75.5276699,43.0212373,"","Geocoded"
141,"Fire Pit","","1915 5th Avenue North","Birmingham","AL","(*) - Very popular","Bars/Clubs","","","8/12/2019 10:29am","8/12/2019 10:30am","1966","1915 5th Avenue North, Birmingham, AL",-86.8089254,33.517555,"1915 5th ave n, birmingham, al 35203, usa","Geocoded"
142,"Jewel Box","Dinkler-Tutwiler Hotel","20th St & 5th Avenue North","Birmingham","AL","(M) - Mixed Crowds,(PE) - Pretty elegant - jacket & tie may be required","Hotels","","","8/12/2019 10:30am","8/28/2019 2:42pm","1966","20th St & 5th Avenue North, Birmingham, AL",-122.4118059,37.7590872,"20th st, san francisco, ca, usa","Geocoded"
144,"Rathskeller","","400-1/2 North 20th Street","Birmingham","AL","","Bars/Clubs","","","8/12/2019 10:30am","8/12/2019 10:33am","1966","400-1/2 North 20th Street, Birmingham, AL",-86.8057535,33.5133658,"two north twentieth, 2 20th st n #1, birmingham, al 35203, usa","Geocoded"
145,"Red Room","Redmont Hotel","2101 5th Avenue North","Birmingham","AL","","Bars/Clubs,Hotels","","","8/12/2019 10:30am","8/28/2019 2:42pm","1966","2101 5th Avenue North, Birmingham, AL",-86.8063813,33.5187153,"2101 5th ave n, birmingham, al 35203, usa","Geocoded"
143,"Mammy's Pancake House","","2151 Highland Ave S.","Birmingham","AL","""(C) - Coffee, soft drinks and sometimes snacks""","Restaurant","","","8/12/2019 10:30am","8/12/2019 10:32am","1966","2151 Highland Ave S., Birmingham, AL",-86.7917065,33.4998391,"2151 highland ave, birmingham, al 35205, usa","Geocoded"
146,"Club Royal","","78 S Royal","Mobile","AL","(M) - Mixed Crowds","Bars/Clubs","","","8/12/2019 10:30am","8/12/2019 10:33am","1966","78 S Royal, Mobile, AL",-88.0407075,30.6904988,"78 s royal st, mobile, al 36602, usa","Geocoded"
149,"Jefferson Davis Hotel Bar","","Catoma St. and Montgomery","Montgomery","AL","(M) - Mixed Crowds","Bars/Clubs,Hotels","","","8/12/2019 10:30am","8/28/2019 2:42pm","1966","Catoma St. and Montgomery, Montgomery, AL",-86.3125611,32.3755335,"catoma st, montgomery, al 36104, usa","Geocoded"
148,"Key Hole","","80 Commerce St","Montgomery","AL","","Bars/Clubs","","","8/12/2019 10:30am","8/12/2019 10:34am","1966","80 Commerce St, Montgomery, AL",-86.3103184,32.3789826,"80 commerce st, montgomery, al 36104, usa","Geocoded"
147,"Flamingo Room","Mobile Steak House","170 S. St. Francis Street","Mobile","AL","(*) - Very popular","Restaurant","","","8/12/2019 10:30am","8/12/2019 10:34am","1966","170 S. St. Francis Street, Mobile, AL",-88.0431478,30.6929733,"170 st francis st, mobile, al 36602, usa","Geocoded"
154,"Cameo Lounge","","182 Spring NW","Atlanta","GA","(RT) - 'Raunchy types' - downtown type places - often hustlers,(PE) - Pretty elegant - jacket & tie may be required","Bars/Clubs","","","8/12/2019 10:30am","8/12/2019 4:24pm","1966","182 Spring NW, Atlanta, GA",-84.3913504,33.764496,"182 spring st nw, atlanta, ga 30313, usa","Geocoded"
156,"Petite Lounge","Dinkler Plaza Hotel","Forsythe & Luckie","Atlanta","GA","(M) - Mixed Crowds,(PE) - Pretty elegant - jacket & tie may be required","Bars/Clubs,Hotels","","","8/12/2019 10:30am","8/28/2019 2:42pm","1966","Forsythe & Luckie, Atlanta, GA",-83.767217,42.2964221,"1655 newport rd, ann arbor, mi 48103, usa","Geocoded"
155,"Mrs P's","(casual dress ok)","551 Ponce de Leon NE","Atlanta","GA","(*) - Very popular","Bars/Clubs","","","8/12/2019 10:30am","8/12/2019 4:24pm","1966","551 Ponce de Leon NE, Atlanta, GA",-84.3688679,33.7732272,"551 ponce de leon ave ne, atlanta, ga 30308, usa","Geocoded"
153,"Blue Room","","86 Cain NW","Atlanta","GA","(*) - Very popular,(PE) - Pretty elegant - jacket & tie may be required","Bars/Clubs","","","8/12/2019 10:30am","8/12/2019 4:24pm","1966","86 Cain NW, Atlanta, GA",-84.3731849,33.7595395,"cain st ne, atlanta, ga 30312, usa","Geocoded"
157,"Piccolo","","1129 Peachtree","Atlanta","GA","(*) - Very popular,(PE) - Pretty elegant - jacket & tie may be required","Bars/Clubs","","","8/12/2019 10:30am","8/12/2019 4:24pm","1966","1129 Peachtree, Atlanta, GA",-84.3829954,33.7853636,"1129 peachtree st ne, atlanta, ga 30309, usa","Geocoded"
159,"Checkmate","","1301 1st Avenue","Columbus","GA","(M) - Mixed Crowds","Bars/Clubs","","","8/12/2019 10:30am","8/12/2019 4:24pm","1966","1301 1st Avenue, Columbus, GA",-84.9922587,32.4708175,"1301 1st ave, columbus, ga 31901, usa","Geocoded"
158,"Rebel Room","","1001 Green St","Augusta","GA","","Bars/Clubs","","","8/12/2019 10:30am","8/12/2019 4:24pm","1966","1001 Green St, Augusta, GA",-81.9706552,33.4752042,"1001 greene st, augusta, ga 30901, usa","Geocoded"
160,"Ann's Tic Toc","","408 Broadway","Macon","GA","(*) - Very popular","Bars/Clubs","","","8/12/2019 10:30am","8/12/2019 4:24pm","1966","408 Broadway, Macon, GA",-83.6242488,32.8359384,"408 broadway, macon, ga 31201, usa","Geocoded"
161,"Colonial Gardens","","115 Abercorn","Savannah","GA","(M) - Mixed Crowds","Bars/Clubs","","","8/12/2019 10:40am","8/12/2019 4:24pm","1966","115 Abercorn, Savannah, GA",-81.0899202,32.0778447,"115 abercorn st, savannah, ga 31401, usa","Geocoded"
162,"De Soto Hotel Bar","","15 E. Liberty","Savannah","GA","(M) - Mixed Crowds","Bars/Clubs,Hotels","","","8/12/2019 10:40am","8/28/2019 2:43pm","1966","15 E. Liberty, Savannah, GA",-81.0929972,32.0740555,"15 e liberty, savannah, ga 31401, usa","Geocoded"
163,"Pirates's Cove","(bar only)","82 E. Broad","Savannah","GA","(M) - Mixed Crowds","Bars/Clubs","","","8/12/2019 10:40am","8/12/2019 4:24pm","1966","82 E. Broad, Savannah, GA",-81.0842894,32.0770012,"82 e broad st, savannah, ga 31401, usa","Geocoded"
164,"Port Royal","","207 E. River St.","Savannah","GA","(M) - Mixed Crowds","Bars/Clubs","","","8/12/2019 10:40am","8/12/2019 4:24pm","1966","207 E. River St., Savannah, GA",-81.088285,32.080765,"207 e river st, savannah, ga 31401, usa","Geocoded"
165,"Mirror Room","","3rd & Florida","Baton Rouge","LA","(*) - Very popular","Bars/Clubs","","","8/12/2019 10:40am","8/13/2019 9:36am","1966","3rd & Florida, Baton Rouge, LA",-95.5960544,37.0406848,"1215 e 3rd st, coffeyville, ks 67337, usa","Geocoded"
170,"Galley House","","542 Chartres","New Orleans","LA","(*) - Very popular","Bars/Clubs","","","8/13/2019 9:32am","8/13/2019 9:37am","1966","542 Chartres, New Orleans, LA",-90.0646439,29.9564532,"542 chartres st, new orleans, la 70130, usa","Geocoded"
166,"Red Devil","","4065 Florida","Baton Rouge","LA","","Bars/Clubs","","","8/13/2019 9:32am","8/13/2019 9:36am","1966","4065 Florida, Baton Rouge, LA",-91.1485559,30.4513455,"4065 florida blvd, baton rouge, la 70806, usa","Geocoded"
167,"Le Cabrie","","206 E. Vermillion","Lafayette","LA","","Bars/Clubs","","","8/13/2019 9:32am","8/13/2019 9:37am","1966","206 E. Vermillion, Lafayette, LA",-92.017353,30.223955,"206 e vermilion st, lafayette, la 70501, usa","Geocoded"
169,"Dixie's Bar of Music","","701 Bourbon","New Orleans","LA","","Bars/Clubs","","","8/13/2019 9:32am","8/13/2019 9:37am","1966","701 Bourbon, New Orleans, LA",-90.0656443,29.9587925,"701 bourbon st, new orleans, la 70116, usa","Geocoded"
168,"Canal St. Baths","","512 Gravier","New Orleans","LA","","Baths","","","8/13/2019 9:32am","8/13/2019 9:37am","1966","512 Gravier, New Orleans, LA",-90.0681388,29.9505628,"512 gravier st, new orleans, la 70130, usa","Geocoded"
177,"Speakeasy","","834 N. Rampart","New Orleans","LA","","Bars/Clubs","","","8/13/2019 9:32am","8/13/2019 9:37am","1966","834 N. Rampart, New Orleans, LA",-90.0669671,29.9617844,"834 n rampart st, new orleans, la 70116, usa","Geocoded"
173,"Lafitte's","","901 Bourbon St.","New Orleans","LA","(*) - Very popular","Bars/Clubs","","","8/13/2019 9:32am","8/13/2019 9:37am","1966","901 Bourbon St., New Orleans, LA",-90.0642121,29.9604081,"901 bourbon st, new orleans, la 70116, usa","Geocoded"
171,"Gaslight","","800 N. Rampart","New Orleans","LA","","Bars/Clubs","","","8/13/2019 9:32am","8/13/2019 9:37am","1966","800 N. Rampart, New Orleans, LA",-90.0674324,29.9613212,"800 n rampart st, new orleans, la 70116, usa","Geocoded"
175,"Mr D's","","600 Dauphine","New Orleans","LA","""(G) - Girls, but seldom exclusively""","Bars/Clubs","","","8/13/2019 9:32am","8/13/2019 9:37am","1966","600 Dauphine, New Orleans, LA",-90.0672501,29.9584209,"600 dauphine st, new orleans, la 70112, usa","Geocoded"
174,"La Place","","1624 Louisiana","New Orleans","LA","","Bars/Clubs","","","8/13/2019 9:32am","8/13/2019 9:37am","1966","1624 Louisiana, New Orleans, LA",-90.0918857,29.9288616,"1624 louisiana ave, new orleans, la 70115, usa","Geocoded"
176,"Regent's Row","","740 Burgundy St.","New Orleans","LA","(*) - Very popular","Bars/Clubs","","","8/13/2019 9:32am","8/13/2019 9:37am","1966","740 Burgundy St., New Orleans, LA",-90.0667025,29.9605085,"740 burgundy st, new orleans, la 70116, usa","Geocoded"
172,"Geneo Bar","","1210 N. Rampart","New Orleans","LA","""(G) - Girls, but seldom exclusively""","Bars/Clubs","","","8/13/2019 9:32am","8/13/2019 9:37am","1966","1210 N. Rampart, New Orleans, LA",-90.0645703,29.9644804,"1210 n rampart st, new orleans, la 70116, usa","Geocoded"
